time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot
1756872000,111054,111151.99,110528.71,111099.88,110881.56959740551,109414.3887500004,109266.00799999974,108509.65064663519,114589.3907777778,111681.54443269286
1756886400,111099.87,111708,110889.29,111437.77,111066.96973160368,109529.29541666708,109310.63999999974,108607.08743396273,114572.41677777778,111676.12722307746
1756900800,111437.77,112500,111031.61,112222.74,111452.22648773578,109668.99375000042,109438.52366666641,108721.81407273158,114557.95422222224,111688.27417367575
1756915200,112222.73,112575.27,111686.24,112193.74,111699.39765849052,109809.21916666707,109571.24799999974,108850.60194513634,114543.59933333333,111699.50674759406
1756929600,112193.74,112250,111613.98,111705.71,111701.50177232701,109929.6100000004,109682.1916666664,108984.0419445701,114524.99200000001,111699.64459764752
1756944000,111705.72,112180,111136,111148.97,111517.32451488468,110009.82375000039,109772.61733333307,109112.28392286107,114507.72600000002,111687.40738436647
1756958400,111148.97,111318.84,110279.68,110463.36,111166.00300992312,110082.95291666705,109837.25399999974,109226.61809015117,114488.24633333336,111660.20633138056
1756972800,110463.36,111154.93,110415.72,110810,111047.33533994875,110183.7962500004,109908.25366666641,109332.87715358779,114465.9292777778,111641.31285734988
1756987200,110810,111123.99,109329.12,109510.31,110534.99355996583,110212.61375000038,109929.59799999974,109415.07820465631,114446.90877777779,111593.95723829766
1757001600,109510.32,110218.39,109363.26,109799.99,110289.99237331055,110248.86333333373,109961.9866666664,109480.15123101932,114425.70583333336,111554.09129966883
1757016000,109800,111765.31,109755.59,110730.87,110436.95158220704,110352.3850000004,110025.8046666664,109543.12868346812,114406.8231666667,111535.79749300952
1757030400,110730.87,111482.09,110435.75,111311.77,110728.55772147136,110504.54166666708,110095.40233333308,109613.1069161072,114394.61094444447,111530.81910427597
1757044800,111311.78,112999,111144.51,112954.32,111470.4784809809,110651.2637500004,110236.9376666664,109712.92158677778,114387.53544444448,111562.45245751429
1757059200,112954.32,112985,112131.02,112354,111764.98565398727,110800.06041666708,110369.07899999974,109832.90756707899,114377.13161111114,111580.04240290287
1757073600,112354,113384.62,110286.91,110716.82,111415.59710265818,110880.58083333376,110432.34999999973,109950.56572299197,114351.0368888889,111560.85968283837
1757088000,110716.82,111627.51,110206.96,111614.54,111481.91140177211,110980.45166666708,110521.83466666641,110078.10898448325,114330.78438888892,111562.0525787753
1757102400,111614.54,111700,110375.6,110659.99,111207.93760118142,111039.7254166671,110602.28933333307,110200.45994157833,114306.71616666671,111542.00674369141
1757116800,110660,111307.7,110552.56,111082.22,111166.03173412094,111071.39375000041,110716.36299999975,110322.7749721647,114287.47277777783,111531.78926049826
1757131200,111082.23,111082.23,110687.69,110825.6,111052.55448941396,111096.04708333376,110762.78333333308,110438.1145291878,114265.45950000004,111516.09616582052
1757145600,110825.59,110968,110675.58,110781.02,110962.04299294265,111139.7004166671,110829.38799999976,110543.3065837707,114233.57888888895,111499.76113991337
1757160000,110781.03,110999.83,110358.11,110384.15,110769.4119952951,111121.1579166671,110882.71533333308,110632.36876255125,114198.5474444445,111474.96978124864
1757174400,110384.16,110402,109977,110038.41,110525.74466353007,111089.17500000041,110910.07433333308,110701.5398059823,114157.30538888893,111443.04623055423
1757188800,110038.42,110282.82,110034.44,110187.97,110413.15310902004,111045.34000000042,110941.75933333307,110756.66357805263,114116.83850000004,111415.15564765302
1757203200,110187.98,110733.12,110180,110629.15,110485.15207268002,111027.63750000042,110951.9916666664,110806.33756304433,114082.9040555556,111397.68885548296
1757217600,110629.15,110911.42,110463.1,110753.42,110574.57471512002,111013.20166666708,110969.30833333307,110852.13713500026,114049.2164444445,111383.37176980557
1757232000,110753.41,111377.19,110720.01,111292.13,110813.75981008001,111007.13333333377,111021.26799999973,110902.20460633385,114018.10877777783,111381.34417492099
1757246400,111292.12,111412,111042.6,111329.99,110985.83654005334,110969.93541666708,111037.96199999974,110955.89295869003,113991.0104444445,111380.20297103385
1757260800,111329.99,111371.35,110861.2,111259.99,111077.22102670223,110931.02916666708,111053.09499999974,111011.97150605015,113962.15811111116,111377.53157167755
1757275200,111259.99,111600,111001.45,111137.34,111097.26068446816,110907.34708333375,111049.67266666639,111068.0481111571,113931.39477777784,111372.19398119581
1757289600,111137.35,111372,110621.78,111052.11,111082.21045631211,110903.31125000042,111049.60933333306,111122.23918282338,113901.77311111118,111365.08100383592
